Date,Japan,Korea (ROK),Chile,Maldives,Cambodia,Singapore,USA,Chinese Taipei,Thailand,Indonesia,Turkey,"Macao, China",Australia,New Zealand,Czech,Hawaii,Mexico,Hong Kong SAR,Canada,Austria
1998-09-01,16.272302,166.488455,53.261072,1.361938,433.276259,0.208871,0.120919,4.187604,4.885114,1158.702485,,0.923244,0.205593,0.240238,3.735338,0.120919,1.234776,0.938703,0.184024,0.105141
1998-10-01,14.603995,163.675317,51.485763,1.316541,418.834207,0.199547,0.120919,4.005759,4.612722,1120.080379,,0.89247,0.195675,0.232992,3.610831,0.120919,1.229502,0.943798,0.186621,0.101306
1998-11-01,14.552133,156.789598,52.783943,1.349737,429.39484,0.198669,0.120919,3.94382,4.418963,1148.322478,,0.914973,0.190445,0.227406,3.701876,0.120919,1.205749,0.938695,0.18617,0.103944
1998-12-01,14.164994,147.10091,52.445855,1.341092,426.644511,0.200299,0.120919,3.909994,4.387361,1140.967327,,0.909113,0.195433,0.231961,3.678165,0.120919,1.197887,0.939473,0.186495,0.103261
1999-01-01,13.687377,142.152478,61.826878,1.430298,462.730432,0.202986,0.120919,3.905504,4.427386,954.563038,,0.971175,0.191788,0.224824,4.200878,0.120919,1.224405,0.937194,0.183978,0.104153
1999-02-01,14.113283,143.537998,64.053036,1.481798,479.391648,0.205558,0.120919,3.936441,4.489539,988.933331,,1.006143,0.18898,0.222502,4.352136,0.120919,1.209706,0.936985,0.181099,0.107903
1999-03-01,14.46665,148.462037,65.959263,1.525896,493.65841,0.209027,0.120919,4.010331,4.541296,1018.364125,,1.036086,0.191771,0.22721,4.481656,0.120919,1.176962,0.936892,0.183439,0.111115
1999-04-01,14.476654,145.952812,67.060274,1.551367,501.898699,0.207206,0.120919,3.986094,4.550319,1035.362954,,1.053381,0.188441,0.222696,4.556466,0.120919,1.140486,0.93717,0.180096,0.112969
1999-05-01,14.758177,144.719597,67.542569,1.562525,505.508334,0.207097,0.120919,3.965464,4.48121,1042.80924,,1.060957,0.182573,0.218989,4.589236,0.120919,1.138605,0.93739,0.176655,0.113782
1999-06-01,14.602682,141.294377,69.169955,1.600172,517.688171,0.206874,0.120919,3.93289,4.464988,1067.934932,0.057206,1.08652,0.184159,0.226961,4.69981,0.120919,1.150654,0.938104,0.177625,0.116523
1999-07-01,14.454504,143.567584,69.359129,1.604549,519.104001,0.204991,0.120919,3.910071,4.490395,1070.855639,0.051794,1.089491,0.18401,0.229682,4.264825,0.120919,1.134373,0.938397,0.179871,0.116842
1999-08-01,13.694251,144.713769,67.700736,1.566184,506.692101,0.202985,0.120919,3.878641,4.602221,1045.251225,0.052946,1.063441,0.18762,0.229852,4.155434,0.120919,1.135271,0.938208,0.180548,0.114048
1999-09-01,12.93956,145.100237,68.363589,1.581518,511.653089,0.205084,0.120919,3.852504,4.83911,1055.485208,0.055119,1.073853,0.186378,0.231407,4.1819,0.120919,1.129593,0.939057,0.178688,0.115165
1999-10-01,12.820572,145.686621,67.050106,1.551132,501.822601,0.202719,0.120919,3.849012,4.771974,1035.205972,0.056822,1.053221,0.185382,0.234897,4.136209,0.120919,1.156002,0.939334,0.178532,0.112952
1999-11-01,12.660303,142.199089,69.442633,1.606481,519.728973,0.20193,0.120919,3.844939,4.687231,1072.144888,0.060339,1.090803,0.189235,0.236002,4.254615,0.120919,1.13824,0.940028,0.177314,0.116983
1999-12-01,12.403331,137.46466,71.01953,1.64296,531.530931,0.202494,0.120919,3.824037,4.622365,1096.491056,0.064059,1.115573,0.188802,0.237684,4.312986,0.120919,1.139259,0.940208,0.178168,0.119639
2000-01-01,12.708479,136.675142,64.676869,1.410794,460.365902,0.202409,0.120919,3.7349,4.523737,1009.463787,0.065894,0.962013,0.18397,0.235234,4.295702,0.120919,1.148037,0.940854,0.175181,0.119315
2000-02-01,13.234539,136.574084,66.658475,1.454019,474.470849,0.205834,0.120919,3.724391,4.567743,1040.392303,0.068114,0.991487,0.192336,0.246616,4.388175,0.120919,1.13939,0.940972,0.175462,0.12297
2000-03-01,12.863578,134.932819,67.972328,1.482678,483.822767,0.207412,0.120919,3.714605,4.585563,1060.898648,0.070136,1.01103,0.19846,0.246692,4.467395,0.120919,1.123484,0.941131,0.176567,0.125394
2000-04-01,12.760579,134.255996,69.240666,1.510344,492.850723,0.206789,0.120919,3.689507,4.594418,1080.69463,0.072006,1.029895,0.202781,0.243889,4.639669,0.120919,1.135068,0.941775,0.177383,0.127734
2000-05-01,13.092995,135.541711,72.046416,1.573305,513.200081,0.209076,0.120919,3.720368,4.71287,1127.121459,0.074604,1.072871,0.209584,0.258311,4.879239,0.120919,1.149297,0.942155,0.18084,0.133496
2000-06-01,12.830616,135.326546,64.145055,1.423216,473.100182,0.211031,0.120919,3.787794,4.768481,1041.818342,0.073813,0.970732,0.203431,0.256975,4.583791,0.120919,1.189899,0.942458,0.178589,0.127407
2000-07-01,13.047624,134.85756,65.815089,1.423216,472.245802,0.210693,0.120919,3.752961,4.869459,1108.22135,0.076064,0.971077,0.205627,0.262855,4.582558,0.120919,1.144293,0.942793,0.178693,0.1287
2000-08-01,13.074346,135.122447,66.654809,1.423216,469.590046,0.208533,0.120919,3.771345,4.962511,1026.937214,0.078286,0.972776,0.208326,0.27167,4.729371,0.120919,1.124773,0.944443,0.179305,0.133763
2000-09-01,12.909164,135.124613,68.380169,1.423216,463.469542,0.210148,0.120919,3.772656,5.069383,1043.780152,0.080291,0.970085,0.218409,0.28956,4.915157,0.120919,1.130289,0.94183,0.179487,0.138687
2000-10-01,13.113943,136.918425,68.89458,1.423216,464.306393,0.212633,0.120919,3.85349,5.261043,1085.15007,0.081699,0.972804,0.228784,0.301826,4.982324,0.120919,1.156445,0.94447,0.182756,0.141455
2000-11-01,13.168809,139.816114,69.375494,1.423216,462.477315,0.211298,0.120919,3.912583,5.290091,1130.427059,0.082734,0.97061,0.231389,0.302703,4.887077,0.120919,1.147828,0.94234,0.186441,0.141212
2000-12-01,13.556148,146.775337,69.61927,1.423216,464.0425,0.209968,0.120919,4.010944,5.248349,1147.820329,0.082013,0.971339,0.221348,0.281817,4.695989,0.120919,1.146763,0.943047,0.184353,0.134816
2001-01-01,14.121341,153.991679,69.106777,1.423216,464.792514,0.210095,0.120919,3.956275,5.231044,1151.493844,0.081212,0.971415,0.217718,0.272001,4.527465,0.120919,1.18441,0.943121,0.181688,0.128893
2001-02-01,14.048232,151.360723,68.236308,1.423216,464.11161,0.210779,0.120919,3.912384,5.166979,1172.539438,0.094495,0.971411,0.22618,0.277967,4.545053,0.120919,1.175684,0.943117,0.184036,0.131211
2001-03-01,14.673156,156.047145,71.116338,1.423216,462.632519,0.214272,0.120919,3.9398,5.314628,1238.345653,0.117711,0.97141,0.240362,0.289299,4.600149,0.120919,1.15887,0.943117,0.188371,0.133002
2001-04-01,14.964197,160.470324,72.606869,1.423216,465.178734,0.219195,0.120919,3.991499,5.513937,1352.283883,0.147579,0.971635,0.242014,0.297997,4.686039,0.120919,1.13083,0.943335,0.188523,0.135613
2001-05-01,14.729718,156.814937,73.359011,1.423216,465.144388,0.219306,0.120919,4.040344,5.548789,1374.820549,0.137785,0.971427,0.232579,0.286668,4.755863,0.120919,1.113276,0.943133,0.186371,0.138359
2001-06-01,14.781469,156.483814,74.679274,1.423216,464.631447,0.219635,0.120919,4.154342,5.482964,1369.253611,0.147114,0.971389,0.233426,0.291817,4.812454,0.120919,1.099903,0.943096,0.184469,0.141736
2001-07-01,15.063343,157.389625,79.629464,1.423216,468.08421,0.220468,0.120919,4.218931,5.546498,1325.554565,0.160531,0.971436,0.237283,0.296114,4.759357,0.120919,1.121443,0.943141,0.184783,0.140527
2001-08-01,14.685695,154.96649,81.799856,1.423216,464.740814,0.212936,0.120919,4.198476,5.441471,1090.263994,0.169901,0.971434,0.230605,0.280684,4.573268,0.120919,1.107336,0.943139,0.186072,0.13432
2001-09-01,14.362549,156.365883,83.63225,1.423216,474.057821,0.211412,0.120919,4.273111,5.373257,1132.871587,0.179244,0.971425,0.239298,0.288979,4.534072,0.120919,1.142903,0.943131,0.189247,0.132745
2001-10-01,14.665163,157.32092,88.497084,1.423216,486.31051,0.218888,0.120919,4.290431,5.415817,1223.507967,0.194783,0.971428,0.239667,0.291818,4.47872,0.120919,1.132263,0.943134,0.189876,0.133501
2001-11-01,14.795979,154.839697,84.34438,1.423216,469.477013,0.221212,0.120919,4.163806,5.365445,1275.848623,0.183737,0.971408,0.233736,0.290247,4.530717,0.120919,1.115324,0.943114,0.192639,0.136108
2001-12-01,15.388015,155.634781,80.884259,1.423216,462.492351,0.222159,0.120919,4.192154,5.313792,1241.96354,0.175792,0.971319,0.235185,0.290756,4.407231,0.120919,1.112946,0.943028,0.190858,0.1356
2002-01-01,16.033888,158.911855,80.580248,1.423216,463.488671,0.22241,0.120919,4.225268,5.309417,1252.848439,0.165427,0.971323,0.23402,0.285115,4.390577,0.120919,1.10992,0.943032,0.193499,0.136926
2002-02-01,16.154165,159.436489,82.01291,1.423216,463.768054,0.221471,0.120919,4.239646,5.291454,1232.508604,0.164478,0.971387,0.23576,0.288687,4.418175,0.120919,1.103785,0.943094,0.192905,0.138985
2002-03-01,15.843006,159.783532,80.047827,1.423216,461.681556,0.221123,0.120919,4.23183,5.242994,1197.347375,0.164665,0.971404,0.230506,0.27975,4.338148,0.120919,1.100064,0.943111,0.191949,0.138072
2002-04-01,15.809646,158.790201,78.612907,1.423216,461.98641,0.221023,0.120919,4.217573,5.249016,1144.528634,0.159707,0.9714,0.225753,0.272954,4.141278,0.120919,1.114299,0.943107,0.191221,0.136512
2002-05-01,15.279898,151.681385,79.278579,1.423216,464.094917,0.217665,0.120919,4.152314,5.166729,1097.246636,0.169584,0.971396,0.219744,0.261926,4.0291,0.120919,1.153484,0.943103,0.187395,0.131879
2002-06-01,14.912845,146.909365,81.802962,1.423216,463.712009,0.21554,0.120919,4.096588,5.098896,1055.793607,0.185802,0.971447,0.212526,0.247021,3.836811,0.120919,1.184101,0.943152,0.185141,0.126606
