Year,Country,Hotels count,Rooms count
1999,Thailand,,279943.0
2000,Thailand,,318812.0
2001,Thailand,,320565.0
2002,Thailand,,335421.0
2003,Thailand,,348094.0
2004,Thailand,,357922.0
2005,Thailand,7293.0,376214.0
2006,Thailand,,326708.0
2007,Thailand,,344321.0
2008,Thailand,,361193.0
2009,Thailand,,366471.0
2010,Thailand,,454686.0
2011,Thailand,,530623.0
2012,Thailand,,528128.0
2013,Thailand,12398.0,540088.0
2014,Thailand,12879.0,550269.0
2015,Thailand,15469.0,650643.0
2016,Thailand,16559.0,682824.0
2017,Thailand,19533.0,743107.0
2018,Thailand,19660.0,746400.0
2019,Thailand,20293.0,784118.0
2020,Thailand,20604.0,799894.0
2021,Thailand,,
1995,Turkey,1769.0,133305.0
1996,Turkey,1843.0,143552.0
1997,Turkey,1914.0,149317.0
1998,Turkey,1935.0,149659.0
1999,Turkey,1895.0,152638.0
2000,Turkey,1814.0,155441.0
2001,Turkey,1989.0,176635.0
2002,Turkey,2116.0,189528.0
2003,Turkey,2231.0,201510.0
2004,Turkey,2349.0,217066.0
2005,Turkey,2405.0,230605.0
2006,Turkey,2467.0,241257.0
2007,Turkey,2505.0,251470.0
2008,Turkey,2547.0,266881.0
2009,Turkey,2597.0,286114.0
2010,Turkey,2614.0,295322.0
2011,Turkey,2740.0,313391.0
2012,Turkey,2814.0,328133.0
2013,Turkey,2917.0,348348.0
2014,Turkey,3061.0,374016.0
2015,Turkey,3237.0,393521.0
2016,Turkey,8664.0,568175.0
2017,Turkey,11151.0,655355.0
2018,Turkey,11362.0,673550.0
2019,Turkey,11898.0,687870.0
2020,Turkey,12570.0,716778.0
2021,Turkey,13968.0,760083.0
1995,Australia,,169630.0
1996,Australia,,173876.0
1997,Australia,,172334.0
1998,Australia,,182061.0
1999,Australia,,190097.0
2000,Australia,,194926.0
2001,Australia,,198133.0
2002,Australia,,196431.0
2003,Australia,,204461.0
2004,Australia,,205495.0
2005,Australia,,232077.0
2006,Australia,4195.0,215172.0
2007,Australia,4235.0,218317.0
2008,Australia,4277.0,223319.0
2009,Australia,4310.0,226434.0
2010,Australia,4279.0,227320.0
2011,Australia,4216.0,226557.0
2012,Australia,4233.0,227168.0
2013,Australia,4237.0,230064.0
2014,Australia,4204.0,229646.0
2015,Australia,4464.0,248573.0
2016,Australia,4445.0,249131.0
2017,Australia,5189.0,274953.0
2018,Australia,5256.0,284680.0
2019,Australia,5637.0,296452.0
2020,Australia,5615.0,291041.0
