Country,Date,New Cases,New Deaths
Czech,2021-02-01,254110.0,4105.0
Czech,2021-03-01,301980.0,6129.0
Czech,2021-04-01,100431.0,2690.0
Czech,2021-05-01,31398.0,717.0
Czech,2021-06-01,5983.0,91.0
Czech,2021-07-01,6318.0,16.0
Czech,2021-08-01,5731.0,31.0
Czech,2021-09-01,12708.0,47.0
Czech,2021-10-01,73217.0,311.0
Czech,2021-11-01,397471.0,2376.0
Czech,2021-12-01,334345.0,3065.0
Czech,2022-01-01,613964.0,1065.0
Czech,2022-02-01,662055.0,1430.0
Czech,2022-03-01,282085.0,960.0
Czech,2022-04-01,106701.0,474.0
Czech,2022-05-01,17976.0,120.0
Czech,2022-06-01,15922.0,23.0
Czech,2022-07-01,70244.0,177.0
Czech,2022-08-01,79630.0,361.0
Czech,2022-09-01,93245.0,258.0
Czech,2022-10-01,75333.0,483.0
Czech,2022-11-01,23844.0,211.0
Czech,2022-12-01,21756.0,257.0
Czech,2023-01-01,9467.0,169.0
Czech,2023-02-01,20324.0,136.0
Czech,2023-03-01,23728.0,213.0
Czech,2023-04-01,6739.0,101.0
Czech,2023-05-01,1751.0,36.0
Czech,2023-06-01,617.0,5.0
Czech,2023-07-01,40.0,0.0
Hawaii,2020-03-01,204.0,0.0
Hawaii,2020-04-01,401.0,16.0
Hawaii,2020-05-01,36.0,1.0
Hawaii,2020-06-01,243.0,1.0
Hawaii,2020-07-01,1082.0,7.0
Hawaii,2020-08-01,6349.0,37.0
Hawaii,2020-09-01,3943.0,71.0
Hawaii,2020-10-01,2675.0,82.0
Hawaii,2020-11-01,2992.0,27.0
Hawaii,2020-12-01,3359.0,41.0
Hawaii,2021-01-01,4424.0,121.0
Hawaii,2021-02-01,1711.0,32.0
Hawaii,2021-03-01,2270.0,23.0
Hawaii,2021-04-01,2892.0,21.0
Hawaii,2021-05-01,2427.0,17.0
Hawaii,2021-06-01,1336.0,16.0
Hawaii,2021-07-01,3832.0,21.0
Hawaii,2021-08-01,20632.0,52.0
Hawaii,2021-09-01,15649.0,179.0
Hawaii,2021-10-01,5004.0,134.0
Hawaii,2021-11-01,3224.0,108.0
Hawaii,2021-12-01,21665.0,67.0
Hawaii,2022-01-01,106418.0,94.0
Hawaii,2022-02-01,17329.0,150.0
Hawaii,2022-03-01,4562.0,49.0
Hawaii,2022-04-01,7296.0,39.0
Hawaii,2022-05-01,25647.0,33.0
Hawaii,2022-06-01,33644.0,53.0
Hawaii,2022-07-01,16539.0,67.0
Hawaii,2022-08-01,11566.0,61.0
Hawaii,2022-09-01,17982.0,54.0
Hawaii,2022-10-01,5748.0,18.0
Hawaii,2022-11-01,4388.0,27.0
Hawaii,2022-12-01,5719.0,28.0
Hawaii,2023-01-01,4687.0,25.0
Hawaii,2023-02-01,2108.0,36.0
Hawaii,2023-03-01,1473.0,19.0
Hong Kong SAR,2020-01-01,12.0,0.0
Hong Kong SAR,2020-02-01,83.0,2.0
Hong Kong SAR,2020-03-01,585.0,2.0
Hong Kong SAR,2020-04-01,357.0,0.0
Hong Kong SAR,2020-05-01,45.0,0.0
Hong Kong SAR,2020-06-01,121.0,3.0
Hong Kong SAR,2020-07-01,1948.0,17.0
Hong Kong SAR,2020-08-01,1650.0,64.0
Hong Kong SAR,2020-09-01,278.0,17.0
Hong Kong SAR,2020-10-01,241.0,0.0
Hong Kong SAR,2020-11-01,918.0,4.0
Hong Kong SAR,2020-12-01,2540.0,37.0
Hong Kong SAR,2021-01-01,1621.0,32.0
Hong Kong SAR,2021-02-01,584.0,20.0
Hong Kong SAR,2021-03-01,478.0,7.0
Hong Kong SAR,2021-04-01,309.0,4.0
Hong Kong SAR,2021-05-01,67.0,1.0
Hong Kong SAR,2021-06-01,84.0,1.0
Hong Kong SAR,2021-07-01,63.0,1.0
Hong Kong SAR,2021-08-01,126.0,0.0
Hong Kong SAR,2021-09-01,104.0,1.0
Hong Kong SAR,2021-10-01,131.0,0.0
Hong Kong SAR,2021-11-01,85.0,0.0
Hong Kong SAR,2021-12-01,200.0,0.0
Hong Kong SAR,2022-01-01,1475.0,0.0
Hong Kong SAR,2022-02-01,205461.0,446.0
Hong Kong SAR,2022-03-01,931203.0,7047.0
Hong Kong SAR,2022-04-01,53078.0,1592.0
Hong Kong SAR,2022-05-01,8523.0,80.0
Hong Kong SAR,2022-06-01,31069.0,21.0
Hong Kong SAR,2022-07-01,105921.0,103.0
Hong Kong SAR,2022-08-01,181948.0,179.0
Hong Kong SAR,2022-09-01,230073.0,472.0
Hong Kong SAR,2022-10-01,152561.0,232.0
Hong Kong SAR,2022-11-01,195493.0,346.0
Hong Kong SAR,2022-12-01,486991.0,1024.0
Hong Kong SAR,2023-01-01,279680.0,1583.0
Hong Kong SAR,2023-02-01,0.0,115.0
Hong Kong SAR,2023-03-01,0.0,13.0
Indonesia,2020-01-01,0.0,0.0
Indonesia,2020-02-01,0.0,0.0
Indonesia,2020-03-01,1528.0,136.0
Indonesia,2020-04-01,8590.0,656.0
Indonesia,2020-05-01,16355.0,821.0
Indonesia,2020-06-01,29912.0,1263.0
Indonesia,2020-07-01,51991.0,2255.0
Indonesia,2020-08-01,66420.0,2286.0
Indonesia,2020-09-01,112212.0,3323.0
Indonesia,2020-10-01,123080.0,3129.0
Indonesia,2020-11-01,128795.0,3076.0
Indonesia,2020-12-01,204315.0,5193.0
Indonesia,2021-01-01,335116.0,7860.0
Indonesia,2021-02-01,256320.0,6168.0
Indonesia,2021-03-01,177078.0,4692.0
Indonesia,2021-04-01,156656.0,4663.0
Indonesia,2021-05-01,153335.0,5057.0
Indonesia,2021-06-01,356569.0,7913.0
Indonesia,2021-07-01,1231386.0,35628.0
Indonesia,2021-08-01,680143.0,38904.0
Indonesia,2021-09-01,125303.0,8916.0
Indonesia,2021-10-01,29254.0,1466.0
Indonesia,2021-11-01,12051.0,425.0
Indonesia,2021-12-01,6311.0,264.0
Indonesia,2022-01-01,90650.0,226.0
Indonesia,2022-02-01,1211078.0,4015.0
Indonesia,2022-03-01,448370.0,6754.0
Indonesia,2022-04-01,33978.0,1168.0
Indonesia,2022-05-01,8177.0,334.0
Indonesia,2022-06-01,33487.0,146.0
Indonesia,2022-07-01,118638.0,256.0
Indonesia,2022-08-01,151710.0,573.0
Indonesia,2022-09-01,72816.0,546.0
Indonesia,2022-10-01,61455.0,519.0
Indonesia,2022-11-01,171765.0,1199.0
Indonesia,2022-12-01,54971.0,782.0
Indonesia,2023-01-01,10201.0,202.0
Indonesia,2023-02-01,6030.0,100.0
Indonesia,2023-03-01,10428.0,106.0
Indonesia,2023-04-01,28247.0,264.0
Indonesia,2023-05-01,32792.0,487.0
Indonesia,2023-06-01,4502.0,101.0
Indonesia,2023-07-01,112.0,7.0
Japan,2020-01-01,12.0,0.0
Japan,2020-02-01,218.0,5.0
Japan,2020-03-01,1723.0,51.0
Japan,2020-04-01,12135.0,359.0
Japan,2020-05-01,2763.0,476.0
Japan,2020-06-01,1742.0,83.0
Japan,2020-07-01,15779.0,32.0
Japan,2020-08-01,33493.0,273.0
Japan,2020-09-01,15145.0,285.0
Japan,2020-10-01,17382.0,191.0
Japan,2020-11-01,46368.0,364.0
Japan,2020-12-01,83544.0,1295.0
Japan,2021-01-01,159214.0,2240.0
Japan,2021-02-01,43255.0,2206.0
Japan,2021-03-01,42000.0,1253.0
Japan,2021-04-01,116829.0,1116.0
Japan,2021-05-01,155111.0,2819.0
Japan,2021-06-01,53265.0,1733.0
Japan,2021-07-01,125845.0,411.0
Japan,2021-08-01,560330.0,849.0
Japan,2021-09-01,215156.0,1607.0
Japan,2021-10-01,21555.0,620.0
Japan,2021-11-01,4440.0,92.0
Japan,2021-12-01,6484.0,33.0
Japan,2022-01-01,997040.0,399.0
Japan,2022-02-01,2275064.0,4841.0
Japan,2022-03-01,1547028.0,4464.0
Japan,2022-04-01,1323588.0,1470.0
Japan,2022-05-01,973774.0,1051.0
Japan,2022-06-01,479238.0,663.0
Japan,2022-07-01,3223490.0,1304.0
Japan,2022-08-01,6218994.0,7295.0
Japan,2022-09-01,2457212.0,4909.0
Japan,2022-10-01,1066376.0,1922.0
Japan,2022-11-01,2497574.0,3302.0
Japan,2022-12-01,4311904.0,7500.0
Japan,2023-01-01,3380717.0,10886.0
Japan,2023-02-01,704777.0,4087.0
Japan,2023-03-01,250880.0,1422.0
Japan,2023-04-01,272573.0,634.0
Japan,2023-05-01,89555.0,152.0
Japan,2023-06-01,0.0,0.0
Japan,2023-07-01,0.0,0.0
"Macao, China",2020-01-01,7.0,0.0
"Macao, China",2020-02-01,3.0,0.0
"Macao, China",2020-03-01,31.0,0.0
"Macao, China",2020-04-01,4.0,0.0
"Macao, China",2020-05-01,0.0,0.0
"Macao, China",2020-06-01,1.0,0.0
"Macao, China",2020-07-01,0.0,0.0
"Macao, China",2020-08-01,0.0,0.0
"Macao, China",2020-09-01,0.0,0.0
"Macao, China",2020-10-01,0.0,0.0
"Macao, China",2020-11-01,0.0,0.0
"Macao, China",2020-12-01,0.0,0.0
"Macao, China",2021-01-01,1.0,0.0
"Macao, China",2021-02-01,1.0,0.0
"Macao, China",2021-03-01,0.0,0.0
"Macao, China",2021-04-01,1.0,0.0
"Macao, China",2021-05-01,2.0,0.0
"Macao, China",2021-06-01,3.0,0.0
"Macao, China",2021-07-01,5.0,0.0
"Macao, China",2021-08-01,4.0,0.0
"Macao, China",2021-09-01,8.0,0.0
"Macao, China",2021-10-01,6.0,0.0
"Macao, China",2021-11-01,0.0,0.0
"Macao, China",2021-12-01,2.0,0.0
"Macao, China",2022-01-01,0.0,0.0
"Macao, China",2022-02-01,2.0,0.0
"Macao, China",2022-03-01,1.0,0.0
"Macao, China",2022-04-01,0.0,0.0
"Macao, China",2022-05-01,1.0,0.0
"Macao, China",2022-06-01,122.0,0.0
"Macao, China",2022-07-01,586.0,6.0
"Macao, China",2022-08-01,2.0,0.0
"Macao, China",2022-09-01,0.0,0.0
"Macao, China",2022-10-01,0.0,0.0
"Macao, China",2022-11-01,6.0,0.0
"Macao, China",2022-12-01,1578.0,32.0
"Macao, China",2023-01-01,1109.0,82.0
"Macao, China",2023-02-01,28.0,1.0
"Macao, China",2023-03-01,0.0,0.0
Maldives,2020-01-01,0.0,0.0
Maldives,2020-02-01,0.0,0.0
Maldives,2020-03-01,18.0,0.0
Maldives,2020-04-01,378.0,0.0
Maldives,2020-05-01,1276.0,5.0
Maldives,2020-06-01,689.0,3.0
Maldives,2020-07-01,1432.0,8.0
Maldives,2020-08-01,4011.0,12.0
Maldives,2020-09-01,2487.0,6.0
Maldives,2020-10-01,1368.0,4.0
Maldives,2020-11-01,1352.0,8.0
Maldives,2020-12-01,746.0,2.0
Maldives,2021-01-01,2084.0,4.0
Maldives,2021-02-01,3952.0,10.0
Maldives,2021-03-01,4286.0,5.0
Maldives,2021-04-01,5756.0,6.0
Maldives,2021-05-01,34561.0,88.0
Maldives,2021-06-01,9402.0,49.0
Maldives,2021-07-01,3634.0,11.0
Maldives,2021-08-01,3680.0,5.0
Maldives,2021-09-01,3697.0,5.0
Maldives,2021-10-01,2975.0,12.0
Maldives,2021-11-01,3866.0,7.0
Maldives,2021-12-01,4050.0,12.0
Maldives,2022-01-01,43180.0,14.0
Maldives,2022-02-01,31312.0,21.0
Maldives,2022-03-01,7336.0,1.0
Maldives,2022-04-01,1835.0,0.0
Maldives,2022-05-01,424.0,0.0
Maldives,2022-06-01,1799.0,7.0
Maldives,2022-07-01,2899.0,2.0
