Month,Average CNY/THB=,Min CNY/THB=,Max CNY/THB=,Nb of working days
10/1994,2.924581,2.912031,2.993333,21
9/1994,2.917688,2.913459,2.926522,22
8/1994,2.907023,2.891084,2.920922,23
7/1994,2.883737,2.874518,2.894776,21
6/1994,2.894748,2.884516,2.907017,22
5/1994,2.902733,2.892178,2.908651,22
4/1994,2.895815,2.886430,2.902701,21
3/1994,2.902843,2.891956,2.977870,23
2/1994,2.908875,2.899979,2.918939,20
1/1994,2.928823,2.916863,2.935208,21
12/1993,4.373740,4.362918,4.399346,23
11/1993,4.369549,4.360340,4.376605,22
10/1993,4.354976,4.338683,4.373158,21
9/1993,4.342959,4.335235,4.352473,22
8/1993,4.350963,4.331502,4.374437,22
7/1993,4.385770,4.375303,4.397811,22
6/1993,4.379218,4.327014,4.398791,22
5/1993,4.397270,4.372051,4.405993,21
4/1993,4.403698,4.353026,4.429182,22
3/1993,4.425276,4.413959,4.435701,23
2/1993,4.404138,4.334364,4.431341,20
1/1993,4.417043,4.394238,4.434463,21
12/1992,4.382275,4.313048,4.437608,23
11/1992,4.522329,4.433005,4.565058,21
10/1992,4.550076,4.534791,4.573382,22
9/1992,4.579424,4.557490,4.639347,22
8/1992,4.643728,4.625747,4.681558,21
7/1992,4.634296,4.589149,4.667341,23
6/1992,4.627101,4.620329,4.634939,22
5/1992,4.630490,4.622946,4.641648,21
4/1992,4.654379,4.632374,4.685105,22
3/1992,4.670690,4.637170,4.699763,22
2/1992,4.637960,4.561998,4.661086,20
1/1992,4.632393,4.508088,4.653842,23
12/1991,4.632076,4.506844,4.710339,22
11/1991,4.730061,4.707516,4.771101,21
10/1991,4.737297,4.713210,4.771730,23
9/1991,4.755329,4.686462,4.808342,21
8/1991,4.787293,4.750324,4.801791,22
7/1991,4.796209,4.789496,4.805522,23
6/1991,4.800620,4.792326,4.806744,20
5/1991,4.819489,4.789680,4.902438,23
4/1991,4.852010,4.807807,4.944809,22
3/1991,4.856800,4.756612,4.934831,21
2/1991,4.806826,4.781097,4.842696,20
1/1991,4.824308,4.807839,4.859984,23
12/1990,4.815662,4.792558,4.847952,21
11/1990,5.066818,4.779187,5.310632,22
10/1990,5.308908,5.270496,5.361330,23
9/1990,5.361414,5.341885,5.386679,20
8/1990,5.403395,5.374005,5.424703,23
7/1990,5.430914,5.413779,5.451877,22
6/1990,5.466073,5.452164,5.475401,21
5/1990,5.476916,5.452164,5.582078,23
4/1990,5.496910,5.484431,5.507669,21
3/1990,5.476553,5.454277,5.504975,22
2/1990,5.435793,5.428928,5.454277,20
1/1990,5.440508,5.426815,5.495596,23
12/1989,6.212466,5.422590,6.925015,21
11/1989,6.934882,6.919655,6.943774,22
10/1989,6.932811,6.908935,6.959854,22
9/1989,6.971210,6.916975,6.997374,21
8/1989,6.932705,6.876775,6.975934,23
7/1989,6.920931,6.903575,6.941094,21
6/1989,6.943375,6.820496,6.989334,22
5/1989,6.901245,6.841936,6.959854,23
4/1989,6.840328,6.820496,6.855336,20
3/1989,6.830051,6.801737,6.874096,23
2/1989,6.802541,6.780297,6.831216,20
1/1989,6.784561,6.748137,6.812456,22
