Month,Average CNY/TRY=,Min CNY/TRY=,Max CNY/TRY=,Nb of working days
10/2019,0.816129,0.795592,0.838898,23
9/2019,0.801356,0.790535,0.812493,21
8/2019,0.800062,0.777490,0.816808,22
7/2019,0.823421,0.802809,0.833879,23
6/2019,0.841963,0.827533,0.851941,20
5/2019,0.882238,0.847167,0.912942,22
4/2019,0.857175,0.823962,0.885784,20
3/2019,0.816995,0.802154,0.841492,21
2/2019,0.783029,0.772622,0.795175,20
1/2019,0.791734,0.775081,0.815014,22
12/2018,0.773380,0.761585,0.782640,19
11/2018,0.772020,0.743040,0.800104,22
10/2018,0.841945,0.788687,0.897891,23
9/2018,0.923969,0.874178,0.976140,20
8/2018,0.865970,0.725034,1.001452,23
7/2018,0.710103,0.683135,0.726853,22
6/2018,0.716201,0.691784,0.735250,21
5/2018,0.697477,0.652404,0.763212,22
4/2018,0.646457,0.633049,0.666093,20
3/2018,0.615468,0.598602,0.635906,21
2/2018,0.598344,0.591549,0.607146,20
1/2018,0.587076,0.575907,0.596528,22
12/2017,0.582918,0.577489,0.594747,19
11/2017,0.588131,0.578086,0.599109,22
10/2017,0.555089,0.536501,0.574438,22
9/2017,0.528717,0.520612,0.537315,21
8/2017,0.526104,0.519923,0.532622,23
7/2017,0.526157,0.520946,0.534412,21
6/2017,0.517325,0.512719,0.522258,22
5/2017,0.518357,0.512881,0.527537,22
4/2017,0.529901,0.514230,0.541831,18
3/2017,0.532367,0.523439,0.543162,23
2/2017,0.533308,0.519404,0.546398,20
1/2017,0.544675,0.510166,0.562305,22
12/2016,0.505840,0.495347,0.514896,21
11/2016,0.480609,0.458188,0.498301,22
10/2016,0.457040,0.451709,0.460484,21
9/2016,0.444868,0.439914,0.450909,22
8/2016,0.445512,0.440267,0.455159,23
7/2016,0.443632,0.431947,0.460390,21
6/2016,0.442255,0.434682,0.448148,22
5/2016,0.449911,0.431079,0.457282,22
4/2016,0.437454,0.431873,0.441318,21
3/2016,0.444122,0.436896,0.450498,21
2/2016,0.449234,0.441031,0.455192,21
1/2016,0.458200,0.450703,0.464093,20
12/2015,0.453018,0.448575,0.462956,22
11/2015,0.451039,0.442049,0.458662,21
10/2015,0.460955,0.452735,0.476665,22
9/2015,0.473460,0.459281,0.481821,22
8/2015,0.450546,0.434694,0.463337,21
7/2015,0.435119,0.424750,0.447940,23
6/2015,0.435406,0.428931,0.445524,22
5/2015,0.426396,0.414772,0.437549,20
4/2015,0.429899,0.417495,0.440920,20
