Month,Average CNY/NZD=,Min CNY/NZD=,Max CNY/NZD=,Nb of working days
3/2013,0.194251,0.192312,0.196618,20
2/2013,0.191275,0.189093,0.194880,20
1/2013,0.191991,0.190494,0.194960,22
12/2012,0.192847,0.189080,0.195589,19
11/2012,0.195763,0.192738,0.198047,22
10/2012,0.194334,0.189792,0.196807,23
9/2012,0.193463,0.190082,0.198435,20
8/2012,0.194077,0.191209,0.196751,23
7/2012,0.196585,0.193707,0.199217,22
6/2012,0.201615,0.196632,0.209235,21
5/2012,0.204711,0.196184,0.210540,22
4/2012,0.194095,0.191242,0.195601,19
3/2012,0.193262,0.189711,0.196221,22
2/2012,0.190194,0.187949,0.192114,21
1/2012,0.198047,0.191504,0.203891,22
12/2011,0.204689,0.200989,0.209464,21
11/2011,0.204144,0.197900,0.212402,22
10/2011,0.198931,0.192332,0.209557,21
9/2011,0.192508,0.183970,0.204856,22
8/2011,0.186252,0.176266,0.191879,23
7/2011,0.183215,0.177589,0.188771,21
6/2011,0.189638,0.186754,0.193529,22
5/2011,0.193401,0.187652,0.197256,22
4/2011,0.194469,0.190415,0.199996,19
3/2011,0.205516,0.199901,0.210598,23
2/2011,0.199523,0.194268,0.203762,20
1/2011,0.197793,0.195099,0.200465,21
12/2010,0.200144,0.194967,0.203689,23
11/2010,0.194838,0.188474,0.202601,22
10/2010,0.199629,0.197669,0.201975,21
9/2010,0.203801,0.201881,0.207737,22
8/2010,0.206377,0.201349,0.211088,22
7/2010,0.207071,0.199921,0.214126,22
6/2010,0.212259,0.205974,0.221180,22
5/2010,0.210055,0.200770,0.221259,21
4/2010,0.205599,0.200863,0.209924,20
3/2010,0.208383,0.204472,0.212559,23
2/2010,0.209879,0.205944,0.213315,20
1/2010,0.201676,0.197467,0.207367,20
12/2009,0.204315,0.201221,0.208705,22
11/2009,0.200867,0.195464,0.207007,21
10/2009,0.198394,0.193752,0.205151,22
9/2009,0.208143,0.201843,0.216992,22
8/2009,0.216419,0.212769,0.219948,21
7/2009,0.227293,0.221519,0.234660,23
6/2009,0.229356,0.223800,0.235615,22
5/2009,0.243384,0.229943,0.256448,20
4/2009,0.256683,0.248572,0.264244,20
3/2009,0.275515,0.252738,0.296425,22
2/2009,0.284346,0.272774,0.292257,20
1/2009,0.266920,0.244511,0.288329,21
12/2008,0.261971,0.244590,0.275571,21
