Month,Average CNY/USD=,Min CNY/USD=,Max CNY/USD=,Nb of working days
5/1997,0.120919,0.120919,0.120919,22
4/1997,0.120919,0.120919,0.120919,22
3/1997,0.120919,0.120919,0.120919,21
2/1997,0.120919,0.120919,0.120919,20
1/1997,0.120919,0.120919,0.120919,23
12/1996,0.120063,0.120029,0.120091,22
11/1996,0.120046,0.119492,0.120403,21
10/1996,0.120045,0.119951,0.120091,23
9/1996,0.119990,0.119960,0.120024,21
8/1996,0.119934,0.119897,0.119957,22
7/1996,0.119918,0.119829,0.120520,23
6/1996,0.119870,0.119826,0.119903,20
5/1996,0.119792,0.119758,0.120048,23
4/1996,0.119740,0.119705,0.119760,22
3/1996,0.119767,0.119690,0.119893,21
2/1996,0.120063,0.119888,0.121451,21
1/1996,0.119928,0.119883,0.119993,23
12/1995,0.119974,0.119933,0.120192,21
11/1995,0.119992,0.119863,0.120025,22
10/1995,0.119979,0.119926,0.120139,22
9/1995,0.119974,0.119907,0.120639,21
8/1995,0.120116,0.119954,0.120482,23
7/1995,0.120187,0.120159,0.120294,21
6/1995,0.120184,0.120140,0.120241,22
5/1995,0.119942,0.118661,0.120604,23
4/1995,0.118454,0.118399,0.118661,20
3/1995,0.118367,0.118205,0.118401,23
2/1995,0.118306,0.118224,0.119000,20
1/1995,0.118163,0.117459,0.118285,22
12/1994,0.117615,0.117255,0.118117,22
11/1994,0.117095,0.116491,0.117247,22
10/1994,0.116939,0.116318,0.117014,21
9/1994,0.116904,0.116598,0.118080,22
8/1994,0.116182,0.115782,0.116720,23
7/1994,0.115455,0.114941,0.115745,21
6/1994,0.115160,0.114824,0.115318,22
5/1994,0.115139,0.114784,0.115343,22
4/1994,0.114606,0.114405,0.114818,21
3/1994,0.114625,0.114550,0.114685,23
2/1994,0.114594,0.114200,0.114726,20
1/1994,0.114659,0.114524,0.114788,21
12/1993,0.171792,0.171689,0.171984,23
11/1993,0.172147,0.171106,0.172933,22
10/1993,0.172404,0.172375,0.172981,21
9/1993,0.172507,0.172227,0.175417,22
8/1993,0.172694,0.172227,0.173142,22
7/1993,0.173128,0.172836,0.173142,22
6/1993,0.173686,0.170893,0.174927,22
5/1993,0.174268,0.173401,0.174789,21
4/1993,0.174433,0.172965,0.175205,22
3/1993,0.174051,0.173539,0.174420,23
2/1993,0.172595,0.169642,0.174359,20
1/1993,0.173047,0.172299,0.173469,21
12/1992,0.171933,0.169471,0.173819,23
11/1992,0.177599,0.173843,0.179585,21
10/1992,0.180140,0.179162,0.181357,22
9/1992,0.181817,0.180535,0.185583,22
8/1992,0.183802,0.182908,0.184950,21
7/1992,0.183274,0.182622,0.184043,23
6/1992,0.182173,0.181808,0.182622,22
5/1992,0.181250,0.180545,0.182048,21
4/1992,0.181499,0.180740,0.182508,22
3/1992,0.182245,0.182053,0.182442,22
2/1992,0.182556,0.182359,0.183097,20
1/1992,0.183284,0.182862,0.187090,23
12/1991,0.184386,0.183560,0.184792,22
11/1991,0.185487,0.184475,0.186955,21
10/1991,0.185438,0.184360,0.186147,23
9/1991,0.185689,0.184087,0.188120,21
8/1991,0.186135,0.185405,0.186679,22
7/1991,0.186243,0.185614,0.186841,23
6/1991,0.186320,0.186059,0.186787,20
5/1991,0.187766,0.186951,0.188654,23
4/1991,0.189658,0.188384,0.192630,22
3/1991,0.190655,0.187564,0.191015,21
2/1991,0.190965,0.190013,0.191015,20
1/1991,0.191096,0.191015,0.192893,23
12/1990,0.191015,0.191015,0.191015,21
11/1990,0.202081,0.190640,0.212746,22
10/1990,0.211274,0.211242,0.211977,23
9/1990,0.211110,0.208854,0.211242,20
8/1990,0.211242,0.211242,0.211242,23
7/1990,0.211302,0.211242,0.212555,22
6/1990,0.211243,0.211242,0.211265,21
5/1990,0.211253,0.211242,0.211492,23
4/1990,0.211244,0.211242,0.211265,21
3/1990,0.211242,0.211242,0.211242,22
2/1990,0.211357,0.211242,0.213534,20
1/1990,0.211250,0.211242,0.211419,23
12/1989,0.240970,0.211242,0.267996,21
11/1989,0.267998,0.267996,0.268032,22
10/1989,0.268042,0.267996,0.269017,22
9/1989,0.267937,0.266755,0.267996,21
8/1989,0.267996,0.267996,0.267996,23
7/1989,0.268081,0.267996,0.269791,21
6/1989,0.267995,0.267967,0.267996,22
5/1989,0.267731,0.261898,0.267996,23
4/1989,0.267996,0.267996,0.267996,20
3/1989,0.267996,0.267996,0.267996,23
2/1989,0.267937,0.266824,0.267996,20
1/1989,0.267982,0.265837,0.269847,22
