Month,Average CNY/SGD=,Min CNY/SGD=,Max CNY/SGD=,Nb of working days
2/2013,0.198673,0.198284,0.199520,20
1/2013,0.197409,0.195783,0.198987,22
12/2012,0.195690,0.195018,0.196223,19
11/2012,0.196196,0.195357,0.196776,22
10/2012,0.195102,0.193812,0.195909,23
9/2012,0.194867,0.193153,0.196797,20
8/2012,0.196286,0.194794,0.197350,23
7/2012,0.197906,0.195435,0.199617,22
6/2012,0.201018,0.199257,0.203157,21
5/2012,0.199910,0.196904,0.202078,22
4/2012,0.198489,0.196924,0.199966,19
3/2012,0.199510,0.198329,0.200869,22
2/2012,0.199068,0.197502,0.201599,21
1/2012,0.202687,0.198349,0.205829,22
12/2011,0.204292,0.201560,0.206295,21
11/2011,0.202865,0.199488,0.205950,22
10/2011,0.200412,0.195296,0.206993,21
9/2011,0.195887,0.188586,0.204130,22
8/2011,0.188779,0.186520,0.190298,23
7/2011,0.188442,0.186571,0.190135,21
6/2011,0.190673,0.189421,0.192019,22
5/2011,0.190605,0.188634,0.192180,22
4/2011,0.191202,0.188739,0.192793,19
3/2011,0.193275,0.192140,0.195540,23
2/2011,0.193912,0.193201,0.194675,20
1/2011,0.195041,0.193982,0.196180,21
12/2010,0.196449,0.194242,0.197739,23
11/2010,0.195203,0.192593,0.198701,22
10/2010,0.195499,0.193963,0.196831,21
9/2010,0.197940,0.196472,0.198688,22
8/2010,0.199746,0.198555,0.200862,22
7/2010,0.203276,0.200702,0.206213,22
6/2010,0.205201,0.202353,0.207390,22
5/2010,0.204040,0.201058,0.207737,21
4/2010,0.202230,0.200358,0.204771,20
3/2010,0.205034,0.204104,0.206074,23
2/2010,0.206775,0.205395,0.208356,20
1/2010,0.204548,0.203215,0.205705,20
12/2009,0.204397,0.201969,0.206623,22
11/2009,0.203414,0.202185,0.205276,21
10/2009,0.204787,0.203659,0.207419,22
9/2009,0.208400,0.206627,0.211310,22
