Month,Average CNY/MOP=,Min CNY/MOP=,Max CNY/MOP=,Nb of working days
4/1999,1.053381,1.037552,1.065597,22
3/1999,1.036086,1.023890,1.054534,23
2/1999,1.006143,0.994100,1.027904,20
1/1999,0.971175,0.956326,0.990432,21
12/1998,0.909113,0.899183,0.915715,23
11/1998,0.914973,0.899965,0.928137,21
10/1998,0.892470,0.878908,0.904511,22
9/1998,0.923244,0.903851,0.949267,22
8/1998,0.967137,0.956108,0.975652,21
7/1998,0.970754,0.955311,0.986046,23
6/1998,0.967180,0.958138,0.979789,22
5/1998,0.961058,0.953353,0.968037,21
4/1998,0.976843,0.965729,0.995556,22
3/1998,0.982488,0.973753,0.989913,22
2/1998,0.978782,0.968230,0.987399,20
1/1998,0.978803,0.961233,0.990742,22
12/1997,1.086824,1.081249,1.095353,23
11/1997,1.060612,1.045475,1.078537,20
10/1997,1.078680,1.052826,1.092926,23
9/1997,1.098713,1.081316,1.118169,22
8/1997,1.126608,1.101454,1.151676,21
7/1997,1.093953,1.068145,1.125565,23
6/1997,1.063104,1.057562,1.071507,21
5/1997,1.052215,1.041007,1.066410,22
4/1997,1.055420,1.032406,1.067635,22
3/1997,1.049956,1.040120,1.061930,21
2/1997,1.036614,1.019523,1.052817,20
1/1997,0.992637,0.960302,1.024433,23
12/1996,1.005507,0.995883,1.011956,22
11/1996,0.984333,0.976338,0.995353,21
10/1996,0.998789,0.985065,1.006731,23
9/1996,0.989964,0.977542,1.000571,21
8/1996,0.978585,0.972913,0.984404,22
7/1996,0.988221,0.970048,1.001334,23
6/1996,1.001682,0.994403,1.007261,20
5/1996,1.006230,0.995987,1.015648,23
4/1996,0.990775,0.978348,1.005504,22
3/1996,0.978619,0.974944,0.983265,21
2/1996,0.975550,0.963055,0.988014,21
1/1996,0.971417,0.952997,0.992918,23
12/1995,0.901500,0.894438,0.908410,21
11/1995,0.888381,0.881388,0.900756,22
10/1995,0.889395,0.876983,0.897872,22
9/1995,0.912521,0.890071,0.926497,21
8/1995,0.902938,0.871772,0.928773,23
7/1995,0.875911,0.867861,0.884288,21
6/1995,0.884949,0.874976,0.901622,22
5/1995,0.890279,0.866407,0.915670,23
4/1995,0.866250,0.856128,0.878829,20
3/1995,0.880931,0.866242,0.906770,23
2/1995,0.921322,0.904020,0.935744,20
1/1995,0.933406,0.919012,0.947773,22
12/1994,0.859278,0.852601,0.865504,22
11/1994,0.836329,0.811955,0.854031,22
10/1994,0.823819,0.808880,0.842596,21
9/1994,0.840463,0.834851,0.854113,22
8/1994,0.843631,0.829914,0.854988,23
7/1994,0.839277,0.818764,0.853384,21
6/1994,0.864419,0.842024,0.884464,22
5/1994,0.878531,0.870476,0.889858,22
4/1994,0.892356,0.874577,0.902509,21
3/1994,0.891531,0.880527,0.903286,23
2/1994,0.910680,0.901385,0.921930,20
1/1994,0.913975,0.908837,0.919257,21
12/1993,1.468295,1.453970,1.487253,23
11/1993,1.471313,1.463008,1.479517,22
10/1993,1.429419,1.395805,1.467682,21
9/1993,1.411770,1.383784,1.447360,22
8/1993,1.470355,1.445861,1.500822,22
7/1993,1.467303,1.442862,1.499084,22
6/1993,1.414742,1.372935,1.457008,22
5/1993,1.381907,1.357747,1.406371,21
4/1993,1.379981,1.358385,1.399544,22
3/1993,1.424702,1.400861,1.444946,23
2/1993,1.408464,1.392212,1.425739,20
1/1993,1.377612,1.340927,1.403768,21
12/1992,1.484316,1.433575,1.535835,23
11/1992,1.532550,1.519137,1.558194,21
10/1992,1.454277,1.394665,1.505860,22
9/1992,1.403089,1.342651,1.471659,22
8/1992,1.401987,1.367158,1.425169,21
7/1992,1.429579,1.398943,1.448190,23
6/1992,1.495523,1.447599,1.527861,22
5/1992,1.530437,1.502775,1.564111,21
4/1992,1.562480,1.549373,1.578618,22
3/1992,1.583443,1.558884,1.596919,22
2/1992,1.545814,1.504324,1.579330,20
1/1992,1.511976,1.455530,1.556753,23
12/1991,1.543603,1.493362,1.595975,22
11/1991,1.609339,1.568966,1.656505,21
10/1991,1.670541,1.642514,1.694908,23
9/1991,1.677911,1.652821,1.719023,21
8/1991,1.726947,1.700253,1.795860,22
7/1991,1.769515,1.732055,1.809052,23
6/1991,1.766208,1.730184,1.795080,20
5/1991,1.708762,1.685534,1.736256,23
4/1991,1.710920,1.665307,1.766874,22
3/1991,1.631874,1.552953,1.736730,21
2/1991,1.505897,1.480211,1.549640,20
1/1991,1.536123,1.508394,1.575526,23
