Month,Average CNY/HKD=,Min CNY/HKD=,Max CNY/HKD=,Nb of working days
3/2014,1.257278,1.246471,1.267973,21
2/2014,1.276369,1.262600,1.291095,20
1/2014,1.281878,1.280245,1.284007,22
12/2013,1.276351,1.272251,1.280773,20
11/2013,1.272225,1.270461,1.272872,21
10/2013,1.270302,1.266296,1.274489,23
9/2013,1.267045,1.265899,1.267573,21
8/2013,1.266896,1.265140,1.268537,22
7/2013,1.264485,1.263133,1.265788,23
6/2013,1.265047,1.261568,1.266906,20
5/2013,1.264095,1.258320,1.268330,22
4/2013,1.255023,1.250330,1.259337,21
3/2013,1.248006,1.245730,1.249699,20
2/2013,1.244063,1.241597,1.246084,20
1/2013,1.245813,1.243014,1.247305,22
12/2012,1.242887,1.238231,1.244853,19
11/2012,1.242819,1.237470,1.245539,22
10/2012,1.235718,1.223438,1.242544,23
9/2012,1.226547,1.221713,1.233778,20
8/2012,1.219522,1.216719,1.221628,23
7/2012,1.217373,1.214184,1.221744,22
6/2012,1.219844,1.216856,1.226266,21
5/2012,1.228706,1.219246,1.236368,22
4/2012,1.232039,1.228717,1.235610,19
3/2012,1.229778,1.225716,1.233277,22
2/2012,1.230909,1.228425,1.232605,21
1/2012,1.229824,1.225285,1.233839,22
12/2011,1.226604,1.220957,1.231921,21
11/2011,1.224496,1.220517,1.227436,22
10/2011,1.221161,1.217809,1.225964,21
9/2011,1.219775,1.217984,1.221435,22
8/2011,1.217603,1.210648,1.222385,23
7/2011,1.206063,1.203233,1.210702,21
6/2011,1.202453,1.200105,1.205289,22
5/2011,1.196928,1.194823,1.200399,22
4/2011,1.190860,1.187999,1.196680,19
3/2011,1.187035,1.184875,1.190501,23
2/2011,1.183326,1.181284,1.185741,20
1/2011,1.179071,1.171567,1.184683,21
12/2010,1.169610,1.165235,1.179000,23
11/2010,1.165572,1.156785,1.169942,22
10/2010,1.163703,1.159179,1.168134,21
9/2010,1.151615,1.141503,1.160338,22
8/2010,1.144779,1.141623,1.147094,22
7/2010,1.147550,1.145668,1.151005,22
6/2010,1.142296,1.140162,1.148218,22
5/2010,1.140475,1.137344,1.143227,21
4/2010,1.137257,1.136627,1.138074,20
3/2010,1.137008,1.136508,1.137539,23
2/2010,1.137403,1.136576,1.138280,20
1/2010,1.136987,1.135845,1.139018,20
12/2009,1.135493,1.134905,1.136173,22
11/2009,1.135149,1.134692,1.135482,21
10/2009,1.135205,1.134767,1.135824,22
9/2009,1.135032,1.134694,1.135447,22
8/2009,1.134390,1.133728,1.134821,21
7/2009,1.134408,1.133977,1.134675,23
6/2009,1.134174,1.133499,1.135475,22
5/2009,1.135788,1.134832,1.136379,20
4/2009,1.134591,1.133781,1.135865,20
3/2009,1.134335,1.124870,1.135681,22
2/2009,1.134109,1.132362,1.134661,20
1/2009,1.134706,1.134203,1.135972,21
12/2008,1.130398,1.125475,1.135873,21
11/2008,1.134977,1.133420,1.135864,20
10/2008,1.134989,1.131108,1.139280,23
9/2008,1.138958,1.133745,1.143672,22
8/2008,1.139597,1.137047,1.143512,21
7/2008,1.140952,1.135619,1.144967,23
6/2008,1.131775,1.124133,1.137824,21
5/2008,1.118731,1.112772,1.125000,21
4/2008,1.113304,1.109733,1.116285,22
3/2008,1.100114,1.094728,1.110044,19
2/2008,1.088118,1.083442,1.094515,21
1/2008,1.077852,1.071001,1.085755,22
12/2007,1.057892,1.052134,1.068100,19
11/2007,1.048203,1.040582,1.054981,22
10/2007,1.033590,1.029739,1.038472,23
9/2007,1.034607,1.032285,1.037318,20
8/2007,1.032043,1.027227,1.035462,23
7/2007,1.032218,1.027900,1.035149,22
6/2007,1.023816,1.019640,1.026776,21
5/2007,1.018849,1.014673,1.022869,22
4/2007,1.011811,1.010130,1.015113,19
3/2007,1.009728,1.008109,1.011156,22
2/2007,1.007930,1.005870,1.009412,20
1/2007,1.001521,0.997010,1.004939,22
12/2006,0.993700,0.992067,0.996264,19
11/2006,0.989721,0.987423,0.992901,22
10/2006,0.985318,0.983987,0.987344,22
9/2006,0.981230,0.978016,0.986443,21
8/2006,0.975390,0.972245,0.977935,23
7/2006,0.972889,0.971576,0.975352,21
6/2006,0.969646,0.967187,0.971441,22
5/2006,0.967425,0.966151,0.969352,22
4/2006,0.967682,0.966711,0.969186,18
3/2006,0.965720,0.963908,0.967899,23
2/2006,0.963835,0.962390,0.964814,20
1/2006,0.961289,0.960494,0.962368,22
12/2005,0.960107,0.959563,0.960821,21
11/2005,0.959239,0.958632,0.959695,22
10/2005,0.958868,0.958390,0.959406,21
9/2005,0.959265,0.958548,0.960061,22
8/2005,0.959229,0.958398,0.959762,23
7/2005,0.946335,0.939671,0.959065,21
6/2005,0.940292,0.939336,0.941236,22
5/2005,0.942087,0.940521,0.943084,22
4/2005,0.943016,0.942635,0.943130,21
