Month,Average CNY/JPY=,Min CNY/JPY=,Max CNY/JPY=,Nb of working days
2/2013,14.936680,14.719910,15.112628,20
1/2013,14.308255,13.944408,14.666603,22
12/2012,13.408641,13.162221,13.819991,19
11/2012,12.991362,12.669501,13.272105,22
10/2012,12.590927,12.352805,12.841853,23
9/2012,12.364815,12.264324,12.479278,20
8/2012,12.373038,12.282628,12.505221,23
7/2012,12.397901,12.236373,12.577922,22
6/2012,12.457822,12.263334,12.615119,21
5/2012,12.617976,12.363747,12.790853,22
4/2012,12.903720,12.756701,13.114891,19
3/2012,13.066289,12.787400,13.298146,22
2/2012,12.453438,12.069467,12.786966,21
1/2012,12.192427,12.106447,12.362782,22
12/2011,12.272166,12.157584,12.324527,21
11/2011,12.189390,12.061711,12.316625,22
10/2011,12.033719,11.913434,12.271910,21
9/2011,12.017157,11.923524,12.176829,22
8/2011,12.022344,11.919696,12.359612,23
7/2011,12.294631,12.047760,12.596663,21
6/2011,12.425047,12.325972,12.547142,22
5/2011,12.497538,12.287158,12.639426,22
4/2011,12.774012,12.510367,13.047867,19
3/2011,12.448438,11.992267,12.666024,23
2/2011,12.552548,12.361096,12.717367,20
1/2011,12.521661,12.358030,12.626210,21
12/2010,12.530519,12.315801,12.663616,23
11/2010,12.401669,11.994642,12.646185,22
10/2010,12.267257,12.102297,12.450518,21
9/2010,12.513159,12.334408,12.766709,22
8/2010,12.571655,12.384652,12.790343,22
7/2010,12.918117,12.759304,13.080610,22
6/2010,13.333552,13.062303,13.577977,22
5/2010,13.496356,13.118151,13.903404,21
4/2010,13.696343,13.468124,13.843835,20
3/2010,13.283697,12.953496,13.687151,23
2/2010,13.209047,13.054227,13.441949,20
1/2010,13.375703,13.110642,13.685107,20
12/2009,13.154319,12.733369,13.539400,22
11/2009,13.060725,12.652588,13.326982,21
10/2009,13.238042,12.945414,13.477649,22
9/2009,13.391759,13.111984,13.629948,22
8/2009,13.880544,13.653243,14.218747,21
7/2009,13.828280,13.498205,14.174773,23
6/2009,14.135431,13.895728,14.401443,22
5/2009,14.156402,13.784169,14.577537,20
4/2009,14.454165,14.102738,14.750884,20
3/2009,14.319161,13.882241,14.538009,22
2/2009,13.535889,13.045960,14.335060,20
1/2009,13.227646,12.952136,13.807632,21
12/2008,13.295038,12.939242,13.642228,21
11/2008,14.177265,13.858235,14.532624,20
10/2008,14.645811,13.557039,15.508016,23
9/2008,15.592728,15.153252,15.914791,22
8/2008,15.948558,15.712476,16.078982,21
7/2008,15.625918,15.307989,15.847953,23
6/2008,15.498005,15.078411,15.724797,21
5/2008,14.964990,14.693881,15.209415,21
4/2008,14.656560,14.341574,14.976148,22
3/2008,14.259456,13.652763,14.595195,19
2/2008,14.948032,14.651400,15.134842,21
1/2008,14.889080,14.563706,15.293349,22
12/2007,15.229779,14.840319,15.648506,19
11/2007,14.951279,14.576704,15.470276,22
10/2007,15.453537,15.173879,15.666257,23
9/2007,15.288640,15.096667,15.411030,20
8/2007,15.416350,14.947546,15.751283,23
7/2007,16.050212,15.632286,16.238169,22
6/2007,16.067744,15.862109,16.279410,21
5/2007,15.741998,15.553660,15.917665,22
4/2007,15.391080,15.221576,15.534481,19
3/2007,15.149913,14.885643,15.300009,22
2/2007,15.554138,15.299237,15.715423,20
1/2007,15.465901,15.134601,15.698728,22
12/2006,14.980642,14.648228,15.266604,19
11/2006,14.919334,14.738790,15.033713,22
10/2006,15.017892,14.863548,15.133444,22
9/2006,14.761945,14.581042,14.924150,21
8/2006,14.542252,14.393284,14.731898,23
7/2006,14.475472,14.246460,14.707767,21
6/2006,14.328431,13.938028,14.566061,22
5/2006,13.942963,13.660031,14.227691,22
4/2006,14.599853,14.257286,14.821651,18
3/2006,14.595324,14.418614,14.789114,23
2/2006,14.645351,14.454330,14.777981,20
1/2006,14.321603,14.068799,14.623106,22
12/2005,14.683394,14.376548,14.985869,21
11/2005,14.652459,14.420631,14.812978,22
10/2005,14.204569,14.024769,14.366255,21
9/2005,13.721083,13.473367,14.000865,22
8/2005,13.654598,13.498366,13.828185,23
7/2005,13.624688,13.429440,13.870384,21
6/2005,13.143000,12.906884,13.394887,22
5/2005,12.897272,12.622138,13.091269,22
4/2005,12.976154,12.714365,13.154974,21
3/2005,12.718477,12.588517,12.998113,21
2/2005,12.687659,12.526100,12.866984,20
1/2005,12.498306,12.338634,12.647026,21
12/2004,12.549103,12.372708,12.795907,23
11/2004,12.668505,12.418412,12.912722,22
10/2004,13.166918,12.828596,13.451389,21
9/2004,13.311583,13.205247,13.469208,22
8/2004,13.361206,13.243461,13.508013,22
7/2004,13.219173,13.079748,13.573975,22
6/2004,13.233356,12.999639,13.469619,22
5/2004,13.544773,13.155898,13.884885,21
4/2004,13.025039,12.545345,13.380229,20
3/2004,13.127531,12.559787,13.563751,23
2/2004,12.887862,12.741027,13.254058,20
1/2004,12.858719,12.796869,12.966767,21
12/2003,13.035296,12.929619,13.220704,21
11/2003,13.210326,13.096045,13.335040,20
10/2003,13.250332,13.061610,13.435907,23
9/2003,13.901009,13.366259,14.245869,22
